date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:07:31	18242/18242	---M--	200	added ('OK')	text/html	etag:W/%22180ab0ed54ac7c17954528396a7703f0%22	https://www.heroku.com/	C:/Users/Suriyaa/Downloads/heroku/heroku/www.heroku.com/index.html	(from )
16:07:31	204/204	---M--	200	added ('OK')	text/plain	date:Thu,%2011%20Jun%202015%2023:49:40%20GMT	https://www.heroku.com/robots.txt		(from )
16:07:31	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Jun%202015%2014:07:24%20GMT	http://d3k90kvix375hb.cloudfront.net/assets/modernizr-f14163e4cc2dd8e22d0fe6a2658d068b.js	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/modernizr-f14163e4cc2dd8e22d0fe6a2658d068b.0.delayed	(from https://www.heroku.com/)
16:07:31	12067/12067	---M--	200	added ('OK')	application/javascript	etag:%22f14163e4cc2dd8e22d0fe6a2658d068b%22	https://d3k90kvix375hb.cloudfront.net/assets/modernizr-f14163e4cc2dd8e22d0fe6a2658d068b.js	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/modernizr-f14163e4cc2dd8e22d0fe6a2658d068b.js	(from https://www.heroku.com/)
16:07:32	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Jun%202015%2014:07:25%20GMT	http://d3k90kvix375hb.cloudfront.net/assets/application-43c8d982c1b592d1d5270ab08b75ab3b.css	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/application-43c8d982c1b592d1d5270ab08b75ab3b.css	(from https://www.heroku.com/)
16:07:32	243106/243106	---M-Z	200	added ('OK')	text/css	date:Fri,%2005%20Jun%202015%2020:48:52%20GMT	https://d3k90kvix375hb.cloudfront.net/assets/application-43c8d982c1b592d1d5270ab08b75ab3b.css	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/application-43c8d982c1b592d1d5270ab08b75ab3b.css	(from https://www.heroku.com/)
16:07:32	1435/1435	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Jun%202015%2014:07:25%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/Users/Suriyaa/Downloads/heroku/heroku/www.googletagmanager.com/gtm.45445.delayed	(from https://www.heroku.com/)
16:07:33	18275/18275	---M--	200	added ('OK')	text/html	etag:W/%2275cd69e05c96e2d6a377ae89ae4f5e48%22	https://www.heroku.com/home	C:/Users/Suriyaa/Downloads/heroku/heroku/www.heroku.com/home.html	(from https://www.heroku.com/)
16:07:33	19368/19368	---M--	200	added ('OK')	text/html	etag:W/%22ab1402f0b67b8c53389976183280493d%22	https://www.heroku.com/pricing	C:/Users/Suriyaa/Downloads/heroku/heroku/www.heroku.com/pricing.html	(from https://www.heroku.com/)
16:07:33	29080/29080	---M--	200	added ('OK')	text/html	etag:W/%227906610c5c47a8f33d1448aff1daa610%22	https://www.heroku.com/features	C:/Users/Suriyaa/Downloads/heroku/heroku/www.heroku.com/features.html	(from https://www.heroku.com/)
16:07:34	12828/12828	---M--	200	added ('OK')	text/html	etag:W/%2293d22f7fd7fc01aec1118b9ce9782ae3%22	https://www.heroku.com/contact	C:/Users/Suriyaa/Downloads/heroku/heroku/www.heroku.com/contact.html	(from https://www.heroku.com/)
16:07:34	14361/14361	---M--	200	added ('OK')	text/html	etag:W/%22fc7416d1a92afc39844d1e808d8d6012%22	https://www.heroku.com/dx	C:/Users/Suriyaa/Downloads/heroku/heroku/www.heroku.com/dx.html	(from https://www.heroku.com/)
16:07:35	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Jun%202015%2014:07:27%20GMT	http://d3k90kvix375hb.cloudfront.net/assets/home/dx-metrics-47566dd61b2931e2db108f22a2292cca.png	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/home/dx-metrics-47566dd61b2931e2db108f22a2292cca.a.delayed	(from https://www.heroku.com/)
16:07:35	997/997	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Jun%202015%2020:04:21%20GMT	https://d3k90kvix375hb.cloudfront.net/assets/home/dx-metrics-47566dd61b2931e2db108f22a2292cca.png	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/home/dx-metrics-47566dd61b2931e2db108f22a2292cca.png	(from https://www.heroku.com/)
16:07:35	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Jun%202015%2014:07:28%20GMT	http://d3k90kvix375hb.cloudfront.net/assets/home/dx-dashboard-66ee9216e4fc558919d12edf3251fcf5.png	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/home/dx-dashboard-66ee9216e4fc558919d12edf3251fcf5.png	(from https://www.heroku.com/)
16:07:35	23359/23359	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Jun%202015%2020:04:21%20GMT	https://d3k90kvix375hb.cloudfront.net/assets/home/dx-dashboard-66ee9216e4fc558919d12edf3251fcf5.png	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/home/dx-dashboard-66ee9216e4fc558919d12edf3251fcf5.png	(from https://www.heroku.com/)
16:07:36	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Jun%202015%2014:07:29%20GMT	http://d3k90kvix375hb.cloudfront.net/assets/home/dx-terminal-b6f6432be4709c08d03748c50c6708b5.png	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/home/dx-terminal-b6f6432be4709c08d03748c50c6708b5.png	(from https://www.heroku.com/)
16:07:36	1874/1874	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Jun%202015%2020:04:21%20GMT	https://d3k90kvix375hb.cloudfront.net/assets/home/dx-terminal-b6f6432be4709c08d03748c50c6708b5.png	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/home/dx-terminal-b6f6432be4709c08d03748c50c6708b5.png	(from https://www.heroku.com/)
16:07:36	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Jun%202015%2014:07:29%20GMT	http://d3k90kvix375hb.cloudfront.net/assets/home/dx-logos-4fb95db0834c4bd09cea88a87ef8341b.png	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/home/dx-logos-4fb95db0834c4bd09cea88a87ef8341b.png	(from https://www.heroku.com/)
16:07:36	2998/2998	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Jun%202015%2020:04:21%20GMT	https://d3k90kvix375hb.cloudfront.net/assets/home/dx-logos-4fb95db0834c4bd09cea88a87ef8341b.png	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/home/dx-logos-4fb95db0834c4bd09cea88a87ef8341b.png	(from https://www.heroku.com/)
16:07:38	33890/33890	---M--	200	added ('OK')	text/html	etag:W/%226b8223fd865bc4938dca66a1600a5f58%22	https://www.heroku.com/enterprise	C:/Users/Suriyaa/Downloads/heroku/heroku/www.heroku.com/enterprise.html	(from https://www.heroku.com/)
16:07:38	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Jun%202015%2014:07:30%20GMT	http://d3k90kvix375hb.cloudfront.net/assets/home/enterprise-hero-dash-0805fa7801e04f0374cc279a25409fa0.png	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/home/enterprise-hero-dash-0805fa7801e04f0374cc279a25409fa0.png	(from https://www.heroku.com/)
